,APOGEE_ID,source_id,LOGG,TEFF,MG_FE,FE_H_1,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,MG_FE_ERR,FE_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr
96,2M18505286+4432362,2105362083394042496,2.61208438873291,4532.0234375,0.07962669432163239,0.17131845653057098,0.0984249860048294,0.2251199930906296,11.437589645385742,12.047988891601562,10.695425987243652,9.675999641418457,9.154999732971193,9.017999649047852,0.054189585149288184,75.9108657836914,0.00868244282901287,0.006329280789941549,0.006709233392030001,0.011278956197202206,0.00016326119478327072,0.0005753261762186933,0.00025064594858514866,0.02199999988079071,0.020999999716877937,0.010999999940395357,11.8856,13.1573,9.8855,1.6358999999999997,1.0750211103479106,0.0620840683611158,0.9495968000000001,0.9593462,0.9408059999999999,0.009270099999999956,-0.022460757558818704,0.004237640590422356
1370,2M19263832+4240515,2125791318679254784,2.6689555644989014,4594.94384765625,0.007557496428489684,0.14720845222473145,0.05196799337863922,0.20103001594543454,12.541131019592285,13.154683113098145,11.796143531799315,10.819000244140623,10.223999977111816,10.121999740600586,0.055305499583482735,77.54786682128906,0.008811370469629766,0.00638749310746789,0.0072113825008273125,0.011943524703383446,0.00015174743945745026,0.0005284978594333191,0.00039205104382267214,0.02500000037252903,0.017000000923871994,0.016000000759959217,8.7903,10.5882,7.7786,1.4048000000000005,0.9440036971581032,0.06696034839751525,1.6616096000000002,1.6806867,1.6462279999999998,0.01722935000000007,0.22052899268386889,0.004498389588729418
2583,2M19491405+4134233,2076894284238667904,2.5715866088867188,4655.39990234375,-0.024216298013925552,-0.026656549423933033,-0.011851999908685684,0.20695501565933228,9.8528413772583,10.43975830078125,9.114044189453123,8.116000175476074,7.559000015258789,7.439000129699707,0.058804307132959366,80.53968811035156,0.009702319279313087,0.006966795306652784,0.008934253826737404,0.014387170784175398,0.0002474507689242955,0.0007502890590638245,0.0005220602255806561,0.023000000044703484,0.028999999165534977,0.017000000923871994,3.2101,4.2156,2.908,0.6538000000000002,0.5065185616172501,0.08063249682632513,0.6318195,0.6401355,0.6230171,0.008559199999999975,-0.19940697448704373,0.005885972799247574
1405,2M19272602+4221542,2125771390030125056,2.73108434677124,4722.6279296875,0.007969200611114502,0.049620453268289566,0.014739897102117537,0.2382369935512543,12.80086612701416,13.385050773620605,12.079808235168455,11.128000259399414,10.574999809265137,10.461999893188477,0.05767538398504257,86.02910614013672,0.010368399322032928,0.007404316682368517,0.009773703292012216,0.015416726469993591,0.0001695047534888694,0.0006147183816818114,0.0003952986019895022,0.020999999716877937,0.017000000923871994,0.016000000759959217,3.4846,4.5396,2.8510000000000004,0.8442999999999998,0.5421529322868313,0.1010101850154544,2.1517787999999998,2.1851764,2.1190926,0.033041899999999944,0.3327976243935369,0.006668283282556253
1584,2M19305546+3815037,2051928738868317440,2.9382719993591313,5037.33447265625,-0.05442130565643311,0.1622784584760666,-0.13597001135349274,0.4522199630737305,11.157132148742676,11.683985710144045,10.479475021362305,9.605999946594238,9.151000022888184,9.032999992370604,0.04956929013133049,101.29573822021484,0.01210794784128666,0.00888496357947588,0.013416419737040995,0.02043922804296017,0.00018461907139610825,0.0006069532565233793,0.00025795677493278824,0.02199999988079071,0.019999999552965164,0.017999999225139618,0.6196,0.6341,0.6095,0.012299999999999978,-0.2078885909128316,0.00859202161628038,1.1644369,1.1708068999999999,1.1576571000000002,0.006574900000000071,0.06611595940200411,0.0024526667761487282
3012,2M20045602+4439587,2082106038083789184,2.8206632137298584,4608.79541015625,0.057364672422409065,0.3612484633922577,0.12274196743965148,0.34863999485969543,11.006951332092283,11.657451629638672,10.23950481414795,9.246000289916992,8.644000053405763,8.515999794006348,0.052237726747989655,76.11017608642578,0.007822445593774319,0.005713850259780885,0.005913950502872467,0.009975862689316273,0.00022906689568280567,0.0005429108863086451,0.0003341821727675942,0.017999999225139618,0.017999999225139618,0.016000000759959217,4.9149,6.1610000000000005,3.9355,1.11275,0.6915146859748683,0.09732564603058186,0.7357965999999999,0.7455651,0.7254874,0.010038850000000023,-0.13324222330653632,0.005927848134352792
3015,2M20062364+4427383,2081902181758188032,2.7606072425842285,4983.544921875,-0.041400305926799774,0.15467844903469086,-0.060001008212566376,0.4487299919128418,11.405285835266113,12.01488971710205,10.660686492919922,9.67300033569336,9.16800022125244,9.038000106811523,0.045313023030757904,88.26021575927734,0.009450245648622513,0.0069897351786494255,0.010097349062561987,0.01600215025246143,0.00018267923904469185,0.0005987116997596686,0.000277317363743812,0.019999999552965164,0.017000000923871994,0.01899999938905239,0.9912,1.1913,0.8414,0.17495,-0.0038387066319929687,0.07550931705128391,1.2700918,1.2909479,1.2488205,0.021063699999999925,0.10383511213123332,0.0072043480596442324
2878,2M19555453+4637075,2085505040840529408,2.5056087970733643,4856.208984375,-0.000740700401365757,-0.004338750150054693,-0.048060603439807885,0.2316354066133499,10.448583602905273,11.064596176147461,9.69916534423828,8.701999664306639,8.199000358581543,8.029999732971191,0.04036059603095055,86.02168273925781,0.009961254894733429,0.007194535806775094,0.010548791848123074,0.01655249856412411,0.0001430169015637084,0.0004520984898681579,0.00015756403347944037,0.024000000208616257,0.061000000685453415,0.023000000044703484,2.3977,2.5399,2.2688,0.13554999999999984,0.3797948432769817,0.024510202286214425,0.8495860999999999,0.8560188000000001,0.8439950999999999,0.006011850000000038,-0.07079260165653398,0.0030716887876434747
2601,2M19492605+4733049,2086380458255298688,3.1279573440551762,4975.8779296875,0.014378696680068968,-0.06981554627418518,-0.0624610036611557,0.2497099936008453,11.898893356323242,12.41842555999756,11.224047660827637,10.378999710083008,9.861000061035156,9.770000457763672,0.06485477089881897,90.1898956298828,0.010657357051968576,0.0077866073697805405,0.012490704655647278,0.019332509487867355,0.00013035317399379132,0.0006726607984675058,0.00025058581499370897,0.020999999716877937,0.017999999225139618,0.014999999664723871,3.7378,4.6908,2.9854,0.8527000000000002,0.5726160596912518,0.09812219399896437,0.9856405,1.00009,0.971628,0.014230999999999997,-0.006281459638712955,0.006269531550353974
1422,2M19274349+3835339,2052710560353138816,2.484749555587769,4835.9052734375,0.03411469981074333,-0.023866550996899605,-0.033396996557712555,0.21861200034618375,12.575453758239744,13.155593872070312,11.855473518371582,10.942999839782717,10.354000091552734,10.241000175476074,0.04076441749930382,96.01598358154295,0.012467104941606522,0.008831670507788658,0.013187788426876068,0.019938999786973,0.00013445078496987506,0.0005381558167438794,0.00025580893245558123,0.020999999716877937,0.020999999716877937,0.017999999225139618,4.1592,4.7498,3.8459,0.4519499999999999,0.619009804425523,0.0458386677544978,2.3476849000000004,2.3675993,2.3307727000000003,0.01841329999999993,0.37063980664099344,0.0034041401385150605
