APOGEE_ID,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr
2M18401969+4348380,2117126509915136384,2.8711063861846924,4723.43603515625,0.010859999805688858,0.06699445098638535,-0.01601799950003624,0.1972070038318634,11.753538131713867,12.318903923034668,11.045186996459961,10.13700008392334,9.571000099182129,9.467000007629395,0.058637943118810654,81.75099182128906,0.006152248941361904,0.006008434109389782,0.008847788907587528,0.014188406988978386,0.00015301766796649297,0.0006162408071208603,0.00034655273960959576,0.027000000700354576,0.03200000151991844,0.019999999552965164,8.452,10.8035,6.8391,1.9821999999999997,0.9269594883802758,0.09928276115938284,0.9995381,1.0150514,0.9849178000000001,0.015066799999999944,-0.0002006469641756818,0.006544024098467232
2M18405556+4353012,2117149874537225344,3.000675916671753,4952.73291015625,0.017616000026464462,-0.1689915508031845,-0.012749001383781433,0.2024500072002411,12.680543899536133,13.187252044677734,12.014052391052246,11.206999778747559,10.654999732971191,10.57800006866455,0.06626930832862854,90.44812774658203,0.007639584597200155,0.0072800093330442905,0.013481048867106438,0.020665647462010384,0.0002076943814155463,0.0009715401669507795,0.00030428009016869595,0.026000000536441803,0.03200000151991844,0.019999999552965164,3.5835,4.5109,2.8510000000000004,0.82995,0.5543074088055591,0.09963299111341473,1.7527549,1.7802525,1.7268314,0.026710550000000013,0.24372118989888159,0.006615833614809635
2M18410298+4315506,2116830779945635200,2.901085376739502,5117.87255859375,-0.04282170161604881,-0.002116450108587742,-0.10416790097951889,0.372032105922699,11.452942848205566,11.927315711975098,10.815545082092285,10.03600025177002,9.564000129699707,9.484000205993652,0.05514146015048027,104.51943969726562,0.00867379829287529,0.008951051160693169,0.01636120118200779,0.0246542077511549,0.0001972115077164549,0.0005618522932848702,0.00037555199628114266,0.024000000208616257,0.03099999949336052,0.020999999716877937,0.5005,0.5726,0.4732,0.049699999999999994,-0.3005959181846626,0.04140330386484353,1.645128,1.6576175,1.6315483,0.013034600000000068,0.21619969409817283,0.00344219400113438
2M18413176+4358551,2116969387130311040,3.1805131435394287,4796.5771484375,-0.010190000757575035,0.19212844967842102,0.04130999743938446,0.2967199981212616,12.788188934326172,13.337188720703125,12.09418773651123,11.197999954223633,10.710000038146973,10.571999549865723,0.05740278586745262,84.56153869628906,0.006011549383401871,0.005996158346533775,0.008783364668488503,0.014018693938851357,0.000196806732689625,0.0007612166681070232,0.00029357923337691716,0.02199999988079071,0.03099999949336052,0.019999999552965164,6.9911,8.8075,5.6442,1.5816499999999998,0.8445455142785693,0.0966251287223509,1.1736595,1.1901355,1.154782,0.017676750000000085,0.06954211844485043,0.006548201998855405
2M18420846+4315092,2116909291947572736,3.0398764610290527,4725.52490234375,0.05974999815225601,0.1545984447002411,0.1337599903345108,0.21504999697208405,11.997145652770996,12.540437698364258,11.308423042297363,10.41100025177002,9.868000030517578,9.793000221252441,0.05457678809762001,94.63481903076172,0.007310579530894756,0.007685421034693718,0.011065449565649033,0.017012689262628555,0.00015616878414337343,0.0006605377856638839,0.0003453686888155172,0.02500000037252903,0.017999999225139618,0.010999999940395355,9.613999999999999,12.1627,7.7625,2.2000999999999995,0.982904117792628,0.09751419078307944,0.8492534,0.8606592000000001,0.8365657,0.012046750000000031,-0.07096270574932956,0.0061655806895158025
2M18421097+4331424,2116931552759508992,2.7449326515197754,4650.34716796875,0.07396899908781052,-0.003545749932527542,0.08388079702854156,0.15268480777740479,12.40921688079834,12.985453605651855,11.690903663635254,10.720000267028809,10.170000076293945,10.07699966430664,0.058624982833862305,80.3493881225586,0.006312233861535788,0.006145112682133913,0.00883940514177084,0.014256706461310387,0.00014679030723163677,0.0006019032513826517,0.0002754958040274147,0.020999999716877937,0.020999999716877937,0.010999999940395355,10.3321,12.7516,8.0353,2.35815,1.0141886008731362,0.10028129257584928,1.3185384,1.3381462,1.2997207000000002,0.019212749999999914,0.12009278233973802,0.006326764678110074
2M18421171+4401098,2116968356338186880,2.98574161529541,4844.49462890625,0.03238300234079361,-0.06448254734277725,0.02409300208091736,0.14346501231193542,12.926229476928711,13.468917846679688,12.235011100769043,11.282999992370605,10.807999610900879,10.704000473022461,0.061752915382385254,90.3803482055664,0.007382751442492008,0.007229499518871307,0.012188948690891266,0.018733372911810875,0.0001711704055562535,0.0006965400378622366,0.000564075486865212,0.019999999552965164,0.017000000923871994,0.010999999940395355,5.4905,7.0317,4.4157,1.3079999999999998,0.7396118958805553,0.10103038686559201,1.7490899999999998,1.776172,1.7231768,0.026497600000000034,0.24281215681872773,0.006577590294996966
2M18421481+4740382,2119807187982756096,3.0432183742523193,4899.91162109375,-0.017643000930547714,0.024521449580788612,-0.041044797748327255,0.23949819803237915,12.015582084655762,12.540139198303223,11.338369369506836,10.47599983215332,9.980999946594238,9.859999656677246,0.060993045568466187,92.13719177246094,0.007233282085508108,0.007192882243543863,0.012009632773697376,0.018480969592928886,0.00012945077556225648,0.0006684105914800398,0.00031138731389823704,0.019999999552965164,0.02199999988079071,0.010999999940395355,2.8647,3.508,2.2491,0.6294500000000001,0.45707914806032796,0.09652540956411404,1.1695236,1.1870948000000001,1.152869,0.01711290000000008,0.0680089899300035,0.006352720590878963
2M18425254+4409578,2117333806515665536,2.7103891372680664,4719.90380859375,0.0036379992961883545,-0.15433155000209808,0.035920992493629456,0.10163899511098862,12.748468399047852,13.30664348602295,12.044737815856934,11.045999526977539,10.550999641418457,10.460000038146973,0.059037793427705765,98.1588363647461,0.008893848396837711,0.009067611768841743,0.014854149892926216,0.02214529737830162,0.00018782308353726407,0.0008706316201168018,0.0004942606307312136,0.02199999988079071,0.017999999225139618,0.010999999940395355,6.1759,7.8498,4.8888,1.4805000000000001,0.7907002553005112,0.10282816053248123,1.7664043999999999,1.7934630999999999,1.7398022000000002,0.02683044999999993,0.24709013785013542,0.006596284969280261
2M18431265+4412181,2117339235354351488,2.8195528984069824,4719.658203125,-0.019450999796390533,0.12227845191955566,0.038850001990795135,0.1946600079536438,12.669271469116211,13.244476318359375,11.952834129333496,11.01099967956543,10.480999946594238,10.361000061035156,0.05724712833762169,83.3445053100586,0.006174837704747915,0.00613444996997714,0.008819369599223137,0.01410510390996933,0.00018086880254175597,0.0007781919534000092,0.00029292978016015603,0.023000000044703484,0.023000000044703484,0.010999999940395355,5.4517,6.9862,4.4157,1.28525,0.7365319491565272,0.0996207271931347,1.6516021,1.6768307,1.6266715999999999,0.02507955000000004,0.21790542640527547,0.006594666093635723
2M18432829+4742130,2119801557282726912,3.1765408515930176,4932.5888671875,-0.025729401037096977,0.018948450684547424,-0.06519100069999695,0.25586700439453125,9.20999526977539,9.697346687316895,8.56081771850586,7.73799991607666,7.263999938964844,7.181000232696533,0.06270845234394073,88.12590026855469,0.006770236883312464,0.006583265494555235,0.011127976700663567,0.017397383227944374,0.00012294104081544965,0.0005899095152250844,0.00024197160396366435,0.026000000536441803,0.03400000184774399,0.024000000208616257,4.3084,5.4312,3.43,1.0005999999999997,0.6343160172184156,0.099800837811782,0.257306,0.2614137,0.25322120000000004,0.0040962499999999975,-0.5895500865587563,0.006914140756417497
